chapter_number,chapter_title,chapter_verse,translation
chapter 1,arjun vihd yog,1.1,dhritarashtra said o sanjay after gathering on the holy field of kurukshetra and desiring to fight what did my sons and the sons of pandu do
chapter 1,arjun vihd yog,1.2,sanjay said on observing the pandava army standing in military formation king duryodhan approached his teacher dronacharya and said the following words
chapter 1,arjun vihd yog,1.3,duryodhan said respected teacher behold the mighty army of the sons of pandu so expertly arrayed for battle by your own gifted disciple the son of drupad
chapter 1,arjun vihd yog,9.13,behold in their ranks are many powerful warriors like yuyudhan virat and drupad wielding mighty bows and equal in military prowess to bheem and arjun there are also accomplished heroes like dhrishtaketu chekitan the gallant king of kashi purujit kuntibhoj and shaibyaall the best of men in their ranks they also have the courageous yudhamanyu the gallant uttamauja the son of subhadra and the sons of draupadi who are all great warrior chiefs
chapter 1,arjun vihd yog,1.7,o best of brahmins hear too about the principal generals on our side who are especially qualified to lead these i now recount unto you
chapter 1,arjun vihd yog,1.8,there are personalities like yourself bheeshma karna kripa ashwatthama vikarn and bhurishrava who are ever victorious in battle
chapter 1,arjun vihd yog,1.9,also there are many other heroic warriors who are prepared to lay down their lives for my sake they are all skilled in the art of warfare and equipped with various kinds of weapons
chapter 1,arjun vihd yog,1.1,the strength of our army is unlimited and we are safely marshalled by grandsire bheeshma while the strength of the pandava army carefully marshalled by bheem is limited
chapter 1,arjun vihd yog,1.11,therefore i call upon all the generals of the kaurava army now to give full support to grandsire bheeshma even as you defend your respective strategic points
chapter 1,arjun vihd yog,1.12,then the grand old man of the kuru dynasty the glorious patriarch bheeshma roared like a lion and blew his conch shell very loudly giving joy to duryodhan
chapter 1,arjun vihd yog,1.13,thereafter conches kettledrums bugles trumpets and horns suddenly blared forth and their combined sound was overwhelming
chapter 1,arjun vihd yog,1.14,then from amidst the pandava army seated in a glorious chariot drawn by white horses madhav and arjun blew their divine conch shells
chapter 1,arjun vihd yog,1.15,hrishikesh blew his conch shell called panchajanya and arjun blew the devadutta bheem the voracious eater and performer of herculean tasks blew his mighty conch called paundra
chapter 1,arjun vihd yog,9.13,king yudhishthir blew the anantavijay while nakul and sahadev blew the sughosh and manipushpak the excellent archer and king of kashi the great warrior shikhandi dhrishtadyumna virat and the invincible satyaki drupad the five sons of draupadi and the mightyarmed abhimanyu son of subhadra all blew their respective conch shells o ruler of the earth
chapter 1,arjun vihd yog,1.19,the terrific sound thundered across the sky and the earth and shattered the hearts of your sons o dhritarasthra
chapter 1,arjun vihd yog,1.2,at that time the son of pandu arjun who had the insignia of hanuman on the flag of his chariot took up his bow seeing your sons arrayed against him o king arjun then spoke the following words to shree krishna
chapter 1,arjun vihd yog,9.13,arjun said o infallible one please take my chariot to the middle of both armies so that i may look at the warriors arrayed for battle whom i must fight in this great combat
chapter 1,arjun vihd yog,1.23,i desire to see those who have come here to fight on the side of the evilminded son of dhritarasthra wishing to please him
chapter 1,arjun vihd yog,1.24,sanjay said o dhritarasthra having thus been addressed by arjun the conqueror of sleep shree krishna then drew the magnificent chariot between the two armies
chapter 1,arjun vihd yog,1.25,in the presence of bheeshma dronacharya and all the other kings shree krishna said o parth behold these kurus gathered here
chapter 1,arjun vihd yog,1.26,there arjun could see stationed in both armies his fathers grandfathers teachers maternal uncles brothers cousins sons nephews grandnephews friends fathersinlaw and wellwishers
chapter 1,arjun vihd yog,1.27,seeing all his relatives present there arjun the son of kunti was overwhelmed with compassion and with deep sorrow spoke the following words
chapter 1,arjun vihd yog,1.28,arjun said o krishna seeing my own kinsmen arrayed for battle here and intent on killing each other my limbs are giving way and my mouth is drying up
chapter 1,arjun vihd yog,9.13,my whole body shudders my hair is standing on end my bow the gv is slipping from my hand and my skin is burning all over my mind is in quandary and whirling in confusion i am unable to hold myself steady any longer o krishna killer of the keshi demon i only see omens of misfortune i do not foresee how any good can come from killing my own kinsmen in this battle
chapter 1,arjun vihd yog,9.13,o krishna i do not desire victory kingdom or the happiness accruing to it of what avail will be a kingdom pleasures or even life itself when the very persons for whom we covet them are standing before us for battle
chapter 1,arjun vihd yog,9.13,teachers fathers sons grandfathers maternal uncles grandsons fathersinlaw grandnephews brothersinlaw and other kinsmen are present here staking their lives and riches o madhusudan i do not wish to slay them even if they attack me if we kill the sons of dhritarashtra what satisfaction will we derive from the dominion over the three worlds what to speak of this earth
chapter 1,arjun vihd yog,9.13,o maintainer of all living entities what pleasure will we derive from killing the sons of dhritarasthra even though they may be aggressors sin will certainly come upon us if we slay them hence it does not behoove us to kill our own cousins the sons of dhritarashtra and friends o madhav krishna how can we hope to be happy by killing our own kinsmen
chapter 1,arjun vihd yog,9.13,their thoughts are overpowered by greed and they see no wrong in annihilating their relatives or wreaking treachery upon friends yet o janardan krishna why should we who can clearly see the crime in killing our kindred not turn away from this sin
chapter 1,arjun vihd yog,1.4,when a dynasty is destroyed its traditions get vanquished and the rest of the family becomes involved in irreligion
chapter 1,arjun vihd yog,1.41,with the preponderance of vice o krishna the women of the family become immoral and from the immorality of women o descendent of vrishni unwanted progeny are born
chapter 1,arjun vihd yog,1.42,an increase in unwanted children results in hellish life both for the family and for those who destroy the family deprived of sacrificial offerings the ancestors of such corrupt families also fall
chapter 1,arjun vihd yog,1.43,through the evil deeds of those who destroy the family tradition and thus give rise to unwanted progeny a variety of social and family welfare activities are ruined
chapter 1,arjun vihd yog,1.44,o janardan krishna i have heard from the learned that those who destroy family traditions dwell in hell for an indefinite period of time
chapter 1,arjun vihd yog,9.13,alas how strange it is that we have set our mind to perform this great sin with horrifying consequences driven by the desire for kingly pleasures we are intent on killing our own kinsmen it would be better if with weapons in hand the sons of dhritarashtra kill me unarmed and unresisting on the battlefield
chapter 1,arjun vihd yog,1.47,sanjay said speaking thus arjun cast aside his bow and arrows and sank into the seat of his chariot his mind in distress and overwhelmed with grief
chapter 2,snkhya yog,2.1,sanjay said seeing arjun overwhelmed with pity his mind griefstricken and his eyes full of tears shree krishna spoke the following words
chapter 2,snkhya yog,2.2,the supreme lord said my dear arjun how has this delusion overcome you in this hour of peril it is not befitting an honorable person it leads not to the higher abodes but to disgrace
chapter 2,snkhya yog,2.3,o parth it does not befit you to yield to this unmanliness give up such petty weakness of heart and arise o vanquisher of enemies
chapter 2,snkhya yog,2.4,arjun said o madhusudan how can i shoot arrows in battle on men like bheeshma and dronacharya who are worthy of my worship o destroyer of enemies
chapter 2,snkhya yog,2.5,it would be better to live in this world by begging than to enjoy life by killing these noble elders who are my teachers if we kill them the wealth and pleasures we enjoy will be tainted with blood
chapter 2,snkhya yog,2.6,we do not even know which result of this war is preferable for usconquering them or being conquered by them even after killing them we will not desire to live yet they have taken the side of the sons of dhritarasthra and now stand before us on the battlefield
chapter 2,snkhya yog,2.7,i am confused about my duty and am besieged with anxiety and faintheartedness i am your disciple and am surrendered to you please instruct me for certain what is best for me
chapter 2,snkhya yog,2.8,i can find no means of driving away this anguish that is drying up my senses even if i win a prosperous and unrivalled kingdom on the earth or gain sovereignty like the celestial gods i will be unable to dispel this grief
chapter 2,snkhya yog,2.9,sanjay said having thus spoken gudakesh that chastiser of enemies addressed hrishikesh govind i shall not fight and became silent
